"optionsCatControls"		"Controls"

"optionsSubcatNotes"		"NOTES"
"optionsNameLeft"			"Left"
"optionsNameDown"			"Down"
"optionsNameUp"				"Up"
"optionsNameRight"			"Right"

"optionsNameTestKeybinds"	"Test Keybinds"
"optionsDescTestKeybinds"	"Make sure your controls work before hopping into the game."

"optionsSubcatUIControls"	"UI NAVIGATION"
"optionsNameAccept"			"Accept"
"optionsNameBack"			"Back"
"optionsNameVolUp"			"Volume Up"
"optionsNameVolDown"		"Volume Down"
"optionsNameVolMute"		"Mute"

"optionsSubcatOtherGame"	"OTHER (IN-GAME)"
"optionsNamePause"			"Pause Game"
"optionsNameRestart"		"Restart Song"
"optionsNameSkipIntro"		"Skip Song's Intro"

"optionsSubcatOtherMenu"	"OTHER (IN-MENU)"
"optionsNameFullscreen"		"Toggle Fullscreen"
"optionsNameScreenshot"		"Take Screenshot"
"optionsNameReset"			"Reset Score"
"optionsNameEditors"		"Open Editors Menu"
"optionsNameSandbox"		"Open Freeplay Sandbox"

"optionsCatVisuals"			"Visuals & UI"

"optionsSubcatGraphics"		"GRAPHICS"
"optionsNameAntialias"		"Antialiasing"
"optionsDescAntialias"		"Smooth edges of visuals at a slight performance cost."
"optionsNameFlashing"		"Flashing Lights"
"optionsDescFlashing"		"Disable this if you are sensitive to rapidly flashing lights."

"optionsSubcatUI"				"UI ELEMENTS"
"optionsNameFPSCounter"			"FPS & Memory Counter"
"optionsDescFPSCounter"			"Display a counter for FPS and memory usage in the top left corner."
"optionsNameCombo"				"Combo & Judgement Type"
"optionsDescCombo"				"How to show the combo and judgement popups. \"Animated\" means they will spring up more and disappear slower."
"optionsNameComboPopup"			"Combo Text"
"optionsDescComboPopup"			"Whether to show the "Combo" text next to the number."
"optionsNameComboAccumulate"	"Accumulate Combos & Judgements"
"optionsDescComboAccumulate"	"Multiple combos and judgements will pile up. Unchecking this will make them disappear instantly each time a note is hit."
"optionsChoiceCombo1"			"None"
"optionsChoiceCombo2"			"Simple"
"optionsChoiceCombo3"			"Animated"
"optionsNameComboPosition"		"Combo & Judgement Position"
"optionsDescComboPosition"		"Adjust the position of the judgement and combo pop-ups on the screen."
"optionsNameStrumline"			"Strumline Animations"
"optionsDescStrumline"			"Whether the strumline should play (and hold on) animations."
"optionsChoiceStrumline1"		"Disabled"
"optionsChoiceStrumline2"		"Non-Held"
"optionsChoiceStrumline3"		"Held"
"optionsNameSplashes"			"Note Splashes"
"optionsDescSplashes"			"Show note splashes whenever you get a \"Sick\" or better."
"optionsNameHealthBar"			"Health Bar"
"optionsDescHealthBar"			"Show or hide the health bar."
"optionsNameHealthIcons"		"Health Icons"
"optionsDescHealthIcons"		"Show or hide character icons on the health bar."
"optionsNameProgressBar"		"Progress Bar"
"optionsDescProgressBar"		"Show a bar indicating how far into the song you are."
"optionsChoiceProgressBar1"		"Disabled"
"optionsChoiceProgressBar2"		"Audio Time"
"optionsChoiceProgressBar3"		"Chart Time"
"optionsNameBPM"				"BPM Display"
"optionsDescBPM"				"Show the current BPM of the song on the progress bar."
"optionsNameScorePosition"		"Score Position"
"optionsDescScorePosition"		"Where to display the score and attached information."
"optionsChoiceScorePosition1"	"Health Bar"
"optionsChoiceScorePosition2"	"Left"
"optionsChoiceScorePosition3"	"Right"
"optionsNameAccuracy"			"Accuracy Display"
"optionsDescAccuracy"			"Show your current accuracy and rating along with your score."
"optionsNameNPS"				"NPS Display"
"optionsDescNPS"				"Show your current and maximum notes-per-second along with your score."
"optionsNameJudgements"			"Judgement Counter"
"optionsDescJudgements"			"Show a counter of which judgements you've gotten on the side of the screen. (Also shows misses)"
"optionsChoiceJudgements1"		"Disabled"
"optionsChoiceJudgements2"		"Left"
"optionsChoiceJudgements3"		"Right"
"optionsNameMS"					"Millisecond Popup"
"optionsDescMS"					"Show how far off you were in milliseconds each time you hit a note."
"optionsNameSubtitles"			"Subtitles"
"optionsDescSubtitles"			"Show subtitles for the spoken dialogue."

"optionsSubcatOther"		"OTHER"
"optionsNameCameraBump"		"Camera Bump"
"optionsDescCameraBump"		"Whether the camera should bump to the beat of the song."

"optionsCatGameplay"		"Gameplay"

"optionsNameOffset"			"Offset"
"optionsDescOffset"			"Offset all charts to counteract audio delays. (Value is in milliseconds)\n(A negative value means notes must be hit earlier)"
"optionsNameNoteskin"		"Noteskin"
"optionsDescNoteskin"		"The skin that is used by default for the notes and strumline."
"optionsNameNoteColors"		"Note Colors"
"optionsDescNoteColors"		"Adjust the colors of your notes."
"optionsNameHitSound"		"Hit Sound"
"optionsDescHitSound"		"The sound that plays when you hit a note, if any."
"optionsNameHitVolume"		"Hit Sound Volume"
"optionsDescHitVolume"		"The volume of the sound that plays when you hit a note."
"optionsNameMissVolume"		"Miss Sound Volume"
"optionsDescMissVolume"		"The volume of the sound that plays when you miss a note."
"optionsNameScrollSpeed"	"Scroll Speed"
"optionsDescScrollSpeed"	"Control the speed at which the notes move."
"optionsNameScrollType"		"Scroll Speed Type"
"optionsDescScrollType"		"Control how the scroll speed option actually affects the scroll speed."
"optionsChoiceScrollType1"	"Constant"
"optionsChoiceScrollType2"	"Multiplier"
"optionsNameQuantizaton"	"Note Color Method"
"optionsDescQuantizaton"	"Whether notes are colored by which beat they fall on or which column they're in."
"optionsChoiceQuantizaton1"	"Beat"
"optionsChoiceQuantizaton2"	"Column"
"optionsNameMirror"			"Mirror Chart"
"optionsDescMirror"			"Horizontally flips the column of every note. (Left becomes Right, Down becomes Up, etc.)"
"optionsNameNoteScale"		"Note Scale"
"optionsDescNoteScale"		"Control the scale of the notes, their scroll speed, and the strumline."

"optionsSubcatStrumline"	"STRUMLINE"
"optionsNameDownscroll"		"Scroll Direction"
"optionsDescDownscroll"		"Whether notes scroll up or down."
"optionsChoiceDownscroll1"	"Down"
"optionsChoiceDownscroll2"	"Up"
