!duplicate	"song.erect"	"song.nightmare"

// Week name
"level.week6"			"HATING SIMULATOR FT. MOAWLING"

// Song names
"song.week6.senpai"			"Senpai"
"song.erect.week6.senpai"	"Senpai Erect"
"song.week6.senpai.pico"	"Senpai (Pico Mix)"
"song.week6.roses"			"Roses"
"song.erect.week6.roses"	"Roses Erect"
"song.week6.roses.pico"		"Roses (Pico Mix)"
"song.week6.thorns"			"Thorns"
"song.erect.week6.thorns"	"Thorns Erect"

// Character names
"character.bf-pixel"		"Boyfriend (Pixel)"
"character.bf-pixel-dead"	"Boyfriend (Pixel) (Dead)"
"character.gf-pixel"		"Girlfriend (Pixel)"
"character.senpai"			"Senpai"
"character.senpai-angry"	"Senpai (Angry)"
"character.spirit"			"Spirit"

// Stage names
"stage.school"			"School (Date)"
"stage.schoolErect"		"School (Date) [Erect]"
"stage.schoolEvil"		"School (Hate)"
"stage.schoolEvilErect"	"School (Hate) [Erect]"
