// Week name
"level.weekend1"		"DUE DEBTS"

// Song names
"song.weekend1.darnell"			"Darnell"
"song.erect.weekend1.darnell"	"Darnell Erect"
"song.weekend1.darnell.bf"		"Darnell (BF Mix)"
"song.weekend1.lit-up"			"Lit Up"
"song.weekend1.lit-up.bf"		"Lit Up (BF Mix)"
"song.weekend1.2hot"			"2Hot"
"song.weekend1.blazin"			"Blazin'"

// Character names
"character.abot"				"ABot"
"character.abot-dark"			"ABot (Dark)"
"character.abot-pixel"			"ABot (Pixel)"
"character.darnell"				"Darnell"
"character.darnell-blazin"		"Darnell (Blazin')"
"character.nene"				"Nene"
"character.nene-christmas"		"Nene (Christmas)"
"character.nene-dark"			"Nene (Dark)"
"character.nene-pixel"			"Nene (Pixel)"
"character.otis-speaker"		"Otis (Speaker Shooter)"
"character.pico-blazin"			"Pico (Blazin')"
"character.pico-christmas"		"Pico (Christmas)"
"character.pico-dark"			"Pico (Dark)"
"character.pico-holding-nene"	"Pico (Holding Nene)"
"character.pico-pixel"			"Pico (Pixel)"
"character.tankman-bloody"		"Tankman (Bloody)"

// Stage names
"stage.phillyBlazin"		"Philly (Blazin')"
"stage.phillyStreets"		"Philly (Streets)"
"stage.phillyStreetsErect"	"Philly (Streets) [Erect]"

// Miscellaneous
"freeplay.sandbox.variant.pico"	"Pico"
