!duplicate	"song.erect"	"song.nightmare"

// Week name
"level.week7"		"TANKMAN FT. JOHNNYUTAH"

// Song names
"song.week7.ugh"		"Ugh"
"song.erect.week7.ugh"	"Ugh Erect"
"song.week7.ugh.pico"	"Ugh (Pico Mix)"
"song.week7.guns"		"Guns"
"song.week7.guns.pico"	"Guns (Pico Mix)"
"song.week7.stress"		"Stress"

// Character names
"character.bf-holding-gf"		"Boyfriend (Holding GF)"
"character.bf-holding-gf-dead"	"Boyfriend (Holding GF) (Dead)"
"character.gf-tankmen"			"Girlfriend (Tankman Stickup)"
"character.pico-speaker"		"Pico (Speaker Shooter)"
"character.tankman"				"Tankman"

// Stage names
"stage.tank"		"Tankman Battlefield"

// Subtitles
"subtitles.ugh.cutscene.1"		"Well, well, well. What do we got here?"
"subtitles.ugh.cutscene.2"		"Beep!"
"subtitles.ugh.cutscene.3"		"We should just KILL you, but..."
"subtitles.ugh.cutscene.4"		"What the hell, it's been a boring day."
"subtitles.ugh.cutscene.5"		"Let's see what you got!"

"subtitles.guns.cutscene.1"		"Heh, pretty tight bars for a little dude who's simping over an..."
"subtitles.guns.cutscene.2"		"Ugly, boring little teenager that wears her mom's clothes! Haah!"
"subtitles.guns.cutscene.3"		"*laughter*"

"subtitles.stress.cutscene.1"			"God effing dammit."
"subtitles.stress.cutscene.2"			"*sexy tongue click*"
"subtitles.stress.cutscene.2.censor"	"*tongue click*"
"subtitles.stress.cutscene.3"			"Well played, you little SHIT."
"subtitles.stress.cutscene.3.censor"	"Well played, you little ****."
"subtitles.stress.cutscene.4"			"But this is war! And in war, people DIE!"
"subtitles.stress.cutscene.5"			"Men, get ready to fire!"
"subtitles.stress.cutscene.6"			"Sorry, no prom for YOU this year, hahahaah!"
"subtitles.stress.cutscene.7"			"*blammed in the face*"
"subtitles.stress.cutscene.8"			"WAAAAAAAAAAAAAAAAAAAH"
"subtitles.stress.cutscene.9"			"*pain*"
"subtitles.stress.cutscene.10"			"Ah look who it is, your sexually ambiguous angry little friend."
"subtitles.stress.cutscene.11"			"Don't you have a school to shoot up?"
"subtitles.stress.cutscene.11.censor"	"Don't you have a ****** to ********?"
"subtitles.stress.cutscene.12"			"There's one way to settle this."
"subtitles.stress.cutscene.13"			"Let's ROCK, you little cunt!"
"subtitles.stress.cutscene.13.censor"	"Let's ROCK, you little ****!"
"subtitles.stress.cutscene.14"			"Hahahahaha! Ya little cunts!"
"subtitles.stress.cutscene.14.censor"	"Hahahahaha! Ya little *****!"

"subtitles.stress.1"	"Huah!"
"subtitles.stress.2"	"Pretty good!"

"subtitles.gameOver.tankman.1"		"I said let's rock, not suck cock! *laughter*"
"subtitles.gameOver.tankman.2"		"Oh my god, what the hell was that? What the hell WAS THAT?"
"subtitles.gameOver.tankman.3"		"I guess your shitty blue hair dye got in your eyes! It's okay, it happens to all of us."
"subtitles.gameOver.tankman.4"		"Maybe you should go play Week 1 again. *laughter*"
"subtitles.gameOver.tankman.5"		"Can you even feed yourself? Can you even walk straight?"
"subtitles.gameOver.tankman.6"		"Maybe if you had more friends you'd be less depressed and play better, hm?"
"subtitles.gameOver.tankman.7"		"You're ugly AND you can't keep a rhythm! Truly, you are cursed!"
"subtitles.gameOver.tankman.8"		"Man, are you tired of eating shit yet? *chuckle*"
"subtitles.gameOver.tankman.9"		"Ahh, you're gettin' closer. I wouldn't brag about it though."
"subtitles.gameOver.tankman.10"		"No wonder your parents hate you. *chuckle*"
"subtitles.gameOver.tankman.11"		"If you can't beat me, how are you gonna survive this harsh and cruel world, hmm?"
"subtitles.gameOver.tankman.12"		"The only thing you're funkin tonight is your sock!"
"subtitles.gameOver.tankman.13"		"Why am I wasting my time against some baggy-pants'd fuck? *laughter*"
"subtitles.gameOver.tankman.14"		"Why am I wasting my time against some baggy-pants'd punk?"
"subtitles.gameOver.tankman.15"		"Hey, here's some Friday Night Funkin lore for ya: I don't like you!"
"subtitles.gameOver.tankman.16"		"You just make me want to cry."
"subtitles.gameOver.tankman.17"		"You know I'm running outta shit to say here, so ya better beat this some time today, asshole!"
"subtitles.gameOver.tankman.18"		"Congratulations, you won! That's what I WOULD say if you weren't such a... goddamn failure! *chuckle*"
"subtitles.gameOver.tankman.19"		"You gotta press the arrows kid, not slap your keyboard like your blind uncle. What?"
"subtitles.gameOver.tankman.20"		"You feel that? That's called FAILURE, and you better get used to it. *chuckle*"
"subtitles.gameOver.tankman.21"		"Open your fuckin' eyes, jeez!"
"subtitles.gameOver.tankman.22"		"I hope you're not some internet streamer screaming like a sociopath right now!"
"subtitles.gameOver.tankman.23"		"That was... terrible. Just terrible."
"subtitles.gameOver.tankman.24"		"My dead grandmother has more nimble fingers, c'mon!"
"subtitles.gameOver.tankman.25"		"Good lord, what the hell is your problem, man? *burp* Just do it right, pleeease!"
