// Week name
"week2"				"SPOOKY MONTH"

// Song names
"week2/spookeez"	"Spookeez"
"week2/south"		"South"
"week2/monster"		"Monster"

// Subtitles
"monsterSubs1"		"Guess it's time,"
"monsterSubs2"		"You better plug in all your nightlights."
"monsterSubs3"		"What's out there, past your darkened door?"
"monsterSubs4"		"Just the eyes floating up out of the shore."
"monsterSubs5"		"Hey man, I'm gonna eat your girlfriend,"
"monsterSubs6"		"Or maybe turn her into broth,"
"monsterSubs7"		"la-la-la la la"
"monsterSubs8"		"Kill a kid, cut em up."
"monsterSubs9"		"Stuff em up inside of my,"
"monsterSubs10"		"Secret meat box."
"monsterSubs11"		"Find my,"
"monsterSubs12"		"Hands across your body slowly"
"monsterSubs13"		"Peel your skin off."
"monsterSubs14"		"You'll meet your friends,"
"monsterSubs15"		"Inside the ambulance."
"monsterSubs16"		"Call into the night,"
"monsterSubs17"		"To the werewolf."
"monsterSubs18"		"Give all your blood to him,"
"monsterSubs19"		"Stand under the warm street light."
"monsterSubs20"		"Let yourself be hypnotized."
"monsterSubs21"		"You're just a little snack,"
"monsterSubs22"		"And so is your girlfriend."
"monsterSubs23"		"Hey man, I'm gonna tear your eyes out,"
"monsterSubs24"		"And then I'll boil your girlfriend,"
"monsterSubs25"		"Stuff em up inside of my, burning dungeon."
"monsterSubs26"		"I would"
"monsterSubs27"		"Give you guys a little break but"
"monsterSubs28"		"I'm not Satan."
