// Week name
"week5"						"RED SNOW"

// Song names
"week5/cocoa"				"Cocoa"
"week5/eggnog"				"Eggnog"
"week5/winter-horrorland"	"Winter Horrorland"

// Subtitles
"winterHorrorlandSubs1"		"Your skin is freezing,"
"winterHorrorlandSubs2"		"Here let me help you take it off."
"winterHorrorlandSubs3"		"Feasting with your friends,"
"winterHorrorlandSubs4"		"What a perfect way to end,"
"winterHorrorlandSubs5"		"All these lonely holidays."
"winterHorrorlandSubs6"		"(la la la la)"
"winterHorrorlandSubs7"		"Gonna take a piece of your rabies,"
"winterHorrorlandSubs8"		"And vivisect your mind."
"winterHorrorlandSubs9"		"Snowman smiling with your teeth,"
"winterHorrorlandSubs10"	"Fallen angels created with your meat."
"winterHorrorlandSubs11"	"(That pearly smile.)"
"winterHorrorlandSubs12"	"Cut, in a thousand slices."
"winterHorrorlandSubs13"	"Bake you 'til, golden brown."
"winterHorrorlandSubs14"	"Stuff you with spices."
"winterHorrorlandSubs15"	"Serve to friends around."
"winterHorrorlandSubs16"	"Separate, you from your eyes."
"winterHorrorlandSubs17"	"Turn your girlfriend inside out,"
"winterHorrorlandSubs18"	"And burn her fingernails."
"winterHorrorlandSubs19"	"Soak your hands in freezing water."
"winterHorrorlandSubs20"	"Watching as the skin gets softer."
"winterHorrorlandSubs21"	"See your bones appear in"
"winterHorrorlandSubs22"	"Dark red snow."
"winterHorrorlandSubs23"	"Drop further below."
"winterHorrorlandSubs24"	"Gonna take a peek inside your head,"
"winterHorrorlandSubs25"	"And find the worm inside."
"winterHorrorlandSubs26"	"Fill you with spices."
"winterHorrorlandSubs27"	"Turn the heat on high and"
"winterHorrorlandSubs28"	"We'll reduce your blood,"
"winterHorrorlandSubs29"	"Boil 'lil boyfriend,"
"winterHorrorlandSubs30"	"With brandy and plums."
